fra;clage_vacsi;jour;pc_vac_dose1;pc_vac_dose2;pc_vac_cum_dose1;pc_vac_cum_dose2
FR;24;2021-01-07;1;0;1;0
FR;24;2021-01-08;1;0;2;0
FR;24;2021-01-09;1;0;3;0
FR;24;2021-01-12;2;0;5;0
FR;24;2021-01-13;4;0;9;0
FR;24;2021-01-14;3;0;12;0
FR;24;2021-01-15;1;0;13;0
FR;24;2021-01-16;2;0;15;0
FR;24;2021-01-17;1;0;16;0
FR;24;2021-01-18;1;0;17;0
FR;24;2021-01-19;4;0;21;0
FR;24;2021-01-20;3;0;24;0
FR;24;2021-01-21;5;0;29;0
FR;24;2021-01-22;2;0;31;0
FR;24;2021-01-23;1;0;32;0
FR;24;2021-01-26;2;0;34;0
FR;24;2021-01-27;3;0;37;0
FR;24;2021-01-28;4;2;41;2
FR;24;2021-01-29;2;0;43;2
FR;24;2021-01-31;0;1;43;3
FR;24;2021-02-01;2;0;45;3
FR;24;2021-02-02;1;0;46;3
FR;24;2021-02-03;3;1;49;4
FR;24;2021-02-04;5;2;54;6
FR;24;2021-02-05;2;1;56;7
FR;24;2021-02-06;0;1;56;8
FR;24;2021-02-07;1;1;57;9
FR;24;2021-02-08;1;2;58;11
FR;24;2021-02-09;4;3;62;14
FR;24;2021-02-10;8;4;70;18
FR;24;2021-02-11;8;6;78;24
FR;24;2021-02-12;6;3;84;27
FR;24;2021-02-13;1;0;85;27
FR;24;2021-02-15;1;1;86;28
FR;24;2021-02-16;4;3;90;31
FR;24;2021-02-17;6;2;96;33
FR;24;2021-02-18;8;3;104;36
FR;24;2021-02-19;3;2;107;38
FR;24;2021-02-20;0;1;107;39
FR;24;2021-02-22;2;2;109;41
FR;24;2021-02-23;3;2;112;43
FR;24;2021-02-24;5;2;117;45
FR;24;2021-02-25;4;5;121;50
FR;24;2021-02-26;5;1;126;51
FR;24;2021-02-28;2;0;128;51
FR;24;2021-03-01;5;1;133;52
FR;24;2021-03-02;1;5;134;57
FR;24;2021-03-03;3;2;137;59
FR;24;2021-03-04;5;5;142;64
FR;24;2021-03-05;2;2;144;66
FR;24;2021-03-06;3;0;147;66
FR;24;2021-03-07;4;0;151;66
FR;24;2021-03-08;2;0;153;66
FR;24;2021-03-09;1;2;154;68
FR;24;2021-03-10;5;4;159;72
FR;24;2021-03-11;6;4;165;76
FR;24;2021-03-12;4;1;169;77
FR;24;2021-03-13;1;1;170;78
FR;24;2021-03-14;4;0;174;78
FR;24;2021-03-15;3;0;177;78
FR;29;2021-01-04;1;0;1;0
FR;29;2021-01-08;5;0;6;0
FR;29;2021-01-09;3;0;9;0
FR;29;2021-01-10;1;0;10;0
FR;29;2021-01-11;3;0;13;0
FR;29;2021-01-12;9;0;22;0
FR;29;2021-01-13;7;0;29;0
FR;29;2021-01-14;12;0;41;0
FR;29;2021-01-15;11;0;52;0
FR;29;2021-01-16;6;0;58;0
FR;29;2021-01-17;1;0;59;0
FR;29;2021-01-18;10;0;69;0
FR;29;2021-01-19;19;0;88;0
FR;29;2021-01-20;10;0;98;0
FR;29;2021-01-21;19;0;117;0
FR;29;2021-01-22;13;0;130;0
FR;29;2021-01-23;4;0;134;0
FR;29;2021-01-24;2;0;136;0
FR;29;2021-01-25;1;0;137;0
FR;29;2021-01-26;8;0;145;0
FR;29;2021-01-27;15;0;160;0
FR;29;2021-01-28;14;0;174;0
FR;29;2021-01-29;17;2;191;2
FR;29;2021-01-30;3;1;194;3
FR;29;2021-01-31;1;0;195;3
FR;29;2021-02-01;4;2;199;5
FR;29;2021-02-02;4;5;203;10
FR;29;2021-02-03;8;4;211;14
FR;29;2021-02-04;14;7;225;21
FR;29;2021-02-05;10;8;235;29
FR;29;2021-02-06;2;3;237;32
FR;29;2021-02-07;0;3;237;35
FR;29;2021-02-08;6;5;243;40
FR;29;2021-02-09;6;16;249;56
FR;29;2021-02-10;15;10;264;66
FR;29;2021-02-11;30;19;294;85
FR;29;2021-02-12;18;17;312;102
FR;29;2021-02-13;5;2;317;104
FR;29;2021-02-14;5;1;322;105
FR;29;2021-02-15;9;3;331;108
FR;29;2021-02-16;11;13;342;121
FR;29;2021-02-17;10;12;352;133
FR;29;2021-02-18;14;13;366;146
FR;29;2021-02-19;20;21;386;167
FR;29;2021-02-20;5;0;391;167
FR;29;2021-02-21;1;1;392;168
FR;29;2021-02-22;4;6;396;174
FR;29;2021-02-23;4;5;400;179
FR;29;2021-02-24;11;10;411;189
FR;29;2021-02-25;19;10;430;199
FR;29;2021-02-26;34;8;464;207
FR;29;2021-02-27;6;2;470;209
FR;29;2021-02-28;0;1;470;210
FR;29;2021-03-01;2;3;472;213
FR;29;2021-03-02;7;3;479;216
FR;29;2021-03-03;8;12;487;228
FR;29;2021-03-04;18;23;505;251
FR;29;2021-03-05;26;11;531;262
FR;29;2021-03-06;16;2;547;264
FR;29;2021-03-07;4;0;551;264
FR;29;2021-03-08;15;3;566;267
FR;29;2021-03-09;12;2;578;269
FR;29;2021-03-10;13;8;591;277
FR;29;2021-03-11;13;8;604;285
FR;29;2021-03-12;27;7;631;292
FR;29;2021-03-13;11;0;642;292
FR;29;2021-03-14;6;1;648;293
FR;29;2021-03-15;9;1;657;294
FR;39;2021-01-05;1;0;1;0
FR;39;2021-01-06;4;0;5;0
FR;39;2021-01-07;25;0;30;0
FR;39;2021-01-08;43;0;73;0
FR;39;2021-01-09;30;0;103;0
FR;39;2021-01-10;15;0;118;0
FR;39;2021-01-11;55;0;173;0
FR;39;2021-01-12;70;0;243;0
FR;39;2021-01-13;80;0;323;0
FR;39;2021-01-14;103;0;426;0
FR;39;2021-01-15;90;0;516;0
FR;39;2021-01-16;47;1;563;1
FR;39;2021-01-17;24;0;587;1
FR;39;2021-01-18;58;0;645;1
FR;39;2021-01-19;94;0;739;1
FR;39;2021-01-20;112;0;851;1
FR;39;2021-01-21;171;0;1022;1
FR;39;2021-01-22;106;0;1128;1
FR;39;2021-01-23;23;0;1151;1
FR;39;2021-01-24;2;0;1153;1
FR;39;2021-01-25;22;0;1175;1
FR;39;2021-01-26;46;1;1221;2
FR;39;2021-01-27;67;2;1288;4
FR;39;2021-01-28;102;15;1390;19
FR;39;2021-01-29;92;23;1482;42
FR;39;2021-01-30;13;14;1495;56
FR;39;2021-01-31;3;8;1498;64
FR;39;2021-02-01;17;31;1515;95
FR;39;2021-02-02;34;44;1549;139
FR;39;2021-02-03;42;41;1591;180
FR;39;2021-02-04;58;50;1649;230
FR;39;2021-02-05;41;65;1690;295
FR;39;2021-02-06;10;34;1700;329
FR;39;2021-02-07;4;9;1704;338
FR;39;2021-02-08;21;69;1725;407
FR;39;2021-02-09;40;88;1765;495
FR;39;2021-02-10;60;110;1825;605
FR;39;2021-02-11;123;144;1948;749
FR;39;2021-02-12;112;130;2060;879
